date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2023-11-16,SGD,2023-11-16 15:47:00,2023-11-16 20:50:00,13.8127,63.6505,767.7925,10605.3,38261.22,360.8106,260683.68,1.2
2023-11-28,SYRE,2023-11-28 14:54:25,2023-11-28 20:50:00,11.5575,13.9849,1127.7685,13034.18,2731.96,21.0032,263410.0,1.07
2023-11-29,VVOS,2023-11-29 15:11:29,2023-11-29 20:50:00,12.0399,37.3913,1093.9045,13170.5,27726.53,210.5614,291083.44,1.65
2023-11-29,YOSH,2023-11-29 15:26:04,2023-11-29 20:50:00,1.5633,2.4439,8424.753,13170.23,7376.69,56.3302,298460.13,1.82
2023-11-29,CDT,2023-11-29 15:31:08,2023-11-29 20:50:00,1251194.85,1744418.025,0.0105,13168.12,5189.9,39.4202,303650.03,1.48
2023-11-29,VVOS,2023-11-29 15:52:33,2023-11-29 20:50:00,14.6428,37.3913,899.2833,13168.07,20452.79,155.3553,324102.82,2.25
2023-12-06,WBUY,2023-12-06 15:29:54,2023-12-06 20:50:00,8.0502,2.2444,2013.0234,16205.14,-11697.23,-72.1201,312395.53,2.09
2023-12-14,ADEX.U,2023-12-14 15:38:39,2023-12-14 20:50:00,8.7435,7.9202,1786.4444,15619.78,-1479.8,-9.4167,310906.8,5.54
2023-12-22,GMBL,2023-12-22 14:43:37,2023-12-22 20:50:00,4.9245,7.1777,3156.7347,15545.34,7097.0,45.7551,317988.02,1.28
2024-01-31,IFBD,2024-01-31 15:49:36,2024-01-31 20:50:00,5.7896,10.9326,2746.1983,15899.4,14109.96,88.8316,332084.24,7.75
2024-02-01,CCTG,2024-02-01 14:59:24,2024-02-01 20:50:00,221.1,39.3015,75.0982,16604.21,-13653.74,-82.2246,318422.53,3.39
2024-02-01,NEUE,2024-02-01 15:46:06,2024-02-01 20:50:00,11.9092,6.1844,1394.224,16604.16,-7988.69,-48.0706,310433.84,1.57
2024-02-07,HOLO,2024-02-07 15:57:34,2024-02-07 20:50:00,6086.28,8849.2614,2.5503,15521.69,7045.36,45.3969,317478.2,1.01
2024-02-13,HOLO,2024-02-13 15:56:38,2024-02-13 20:50:00,20711.04,20269.5192,0.7664,15873.73,-339.4,-2.1318,314577.23,2.14
2024-02-13,BGLC,2024-02-13 14:58:13,2024-02-13 20:50:00,22.11,18.5535,717.9516,15873.91,-2556.98,-16.0855,314916.63,1.73
2024-03-06,SWIN,2024-03-06 14:41:59,2024-03-06 20:50:00,23.2255,53.8151,677.2223,15728.86,20712.56,131.7066,335286.4,1.87
2024-03-13,SWIN,2024-03-13 15:29:03,2024-03-13 19:50:00,56.8729,19.4513,294.7679,16764.32,-11032.19,-65.7988,324252.74,1.43
2024-03-15,OTLK,2024-03-15 15:22:53,2024-03-15 19:50:00,6.9244,8.2373,2341.361,16212.64,3062.04,18.959,327302.08,1.29
2024-03-15,SOAR,2024-03-15 15:26:21,2024-03-15 19:50:00,112.8112,94.5131,143.7095,16212.05,-2630.61,-16.2201,324671.46,1.27
2024-03-27,GCTS,2024-03-27 14:06:47,2024-03-27 19:50:00,12.5625,40.8975,1292.2247,16233.57,36608.73,225.5522,361262.56,1.55
2024-03-27,GCTS,2024-03-27 14:50:13,2024-03-27 19:50:00,13.7785,40.8975,1178.1537,16233.25,31944.4,196.8201,393206.96,3.73
2024-03-27,GCTS,2024-03-27 15:11:25,2024-03-27 19:50:00,15.3765,40.8975,1055.699,16232.96,26937.22,165.9741,420144.17,1.41
